chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
56,,,https://www.geckoterminal.com/bsc/impossible_finance/pools,Impossible Finance v2,
56,,,https://www.geckoterminal.com/bsc/swych/pools,SWYCH,
56,,,https://www.geckoterminal.com/bsc/elk_finance_bsc/pools,Elk Finance (BSC),
56,,,https://www.geckoterminal.com/bsc/kyberswap_classic_bsc/pools,Kyberswap Classic (BSC),
56,,,https://www.geckoterminal.com/bsc/dinosaureggs/pools,DinosaurEggs,
56,,,https://www.geckoterminal.com/bsc/openocean/pools,OpenOcean,
56,,,https://www.geckoterminal.com/bsc/traderjoe-v2-bsc/pools,TraderJoe V2 (BSC),
56,,,https://www.geckoterminal.com/bsc/planet_finance/pools,Planet Finance,
56,,,https://www.geckoterminal.com/bsc/definix/pools,Definix,
56,,,https://www.geckoterminal.com/bsc/ellipsis_finance/pools,Ellipsis Finance,
56,,,https://www.geckoterminal.com/bsc/dao_swap/pools,DAO Swap,
56,,,https://www.geckoterminal.com/bsc/julswap/pools,JulSwap,
56,,,https://www.geckoterminal.com/bsc/lif3-bsc/pools,lif3 (BSC),
56,,,https://www.geckoterminal.com/bsc/jetswap_bsc/pools,Jetswap (BSC),
56,,,https://www.geckoterminal.com/bsc/saitaswap-bsc/pools,Saitaswap (BSC),
56,,,https://www.geckoterminal.com/bsc/jswap_bsc/pools,Jswap (BSC),
56,,,https://www.geckoterminal.com/bsc/niob/pools,Niob,
56,,,https://www.geckoterminal.com/bsc/fraxswap_bsc/pools,Fraxswap (BSC),
56,,,https://www.geckoterminal.com/bsc/pandora_digital_swap/pools,Pandora Digital Swap,
56,,,https://www.geckoterminal.com/bsc/leonicornswap/pools,LeonicornSwap,
56,,,https://www.geckoterminal.com/bsc/wault_finance/pools,Wault Finance,
56,,,https://www.geckoterminal.com/bsc/impossible_finance_v3/pools,Impossible Finance v3,
56,,,https://www.geckoterminal.com/bsc/justmoney_bsc/pools,Justmoney (BSC),
56,,,https://www.geckoterminal.com/bsc/traderjoe-bsc/pools,TraderJoe (BSC),
56,,,https://www.geckoterminal.com/bsc/cone_exchange/pools,Cone Exchange,
56,,,https://www.geckoterminal.com/bsc/winery_swap/pools,Winery Swap,
56,,,https://www.geckoterminal.com/bsc/autoshark_finance/pools,AutoShark Finance,
56,,,https://www.geckoterminal.com/bsc/spice_trade_bsc/pools,Spice Trade (BSC),
56,,,https://www.geckoterminal.com/bsc/annex_finance_bsc/pools,Annex Finance (BSC),
56,,,https://www.geckoterminal.com/bsc/alium/pools,Alium,
56,,,https://www.geckoterminal.com/bsc/padswap-bsc/pools,Padswap (BSC),
56,,,https://www.geckoterminal.com/bsc/yoshi_exchange_bsc/pools,Yoshi.exchange (BSC),
56,,,https://www.geckoterminal.com/bsc/pinkswap/pools,Pinkswap,
56,,,https://www.geckoterminal.com/bsc/sphynx_swap/pools,Sphynx Swap,
56,,,https://www.geckoterminal.com/bsc/orbitalswap/pools,OrbitalSwap,
56,,,https://www.geckoterminal.com/bsc/pls2e/pools,PLS2E,
56,,,https://www.geckoterminal.com/bsc/firebird_bsc/pools,Firebird (BSC),
56,,,https://www.geckoterminal.com/bsc/corgiswap/pools,CorgiSwap,
56,,,https://www.geckoterminal.com/bsc/bridges/pools,Bridges,
56,,,https://www.geckoterminal.com/bsc/polkaex_bsc/pools,PolkaEx (BSC),
56,,,https://www.geckoterminal.com/bsc/cakewswap_bsc/pools,CakeWSwap (BSC),
56,,,https://www.geckoterminal.com/bsc/kyberswap_elastic_bsc/pools,Kyberswap Elastic (BSC),
56,,,https://www.geckoterminal.com/bsc/dddx/pools,DDDX,
56,,,https://www.geckoterminal.com/bsc/pyeswap_bsc/pools,PYESwap (BSC),
56,,,https://www.geckoterminal.com/bsc/moonlift/pools,Moonlift,
56,,,https://www.geckoterminal.com/bsc/iziswap-bsc/pools,iZiSwap (BSC),
56,,,https://www.geckoterminal.com/bsc/empiredex_bsc/pools,EmpireDEX (BSC),
56,,,https://www.geckoterminal.com/bsc/whaleswap/pools,WhaleSwap,
57,,,https://www.geckoterminal.com/sys/pegasys/pools,Pegasys,
61,,,https://www.geckoterminal.com/ethereum_classic/hebeswap/pools,HebeSwap,
61,,,https://www.geckoterminal.com/ethereum_classic/soy_finance_etc/pools,Soy Finance (ETC),
66,,,https://www.geckoterminal.com/okexchain/okcswap/pools,OKCSwap,
66,,,https://www.geckoterminal.com/okexchain/cherryswap/pools,Cherryswap,
66,,,https://www.geckoterminal.com/okexchain/kswap/pools,Kswap,
66,,,https://www.geckoterminal.com/okexchain/jswap/pools,Jswap,
66,,,https://www.geckoterminal.com/okexchain/elk_finance_oec/pools,Elk Finance (OEC),
70,,,https://www.geckoterminal.com/hsc/puddingswap/pools,PuddingSwap,
70,,,https://www.geckoterminal.com/hsc/elk_finance_hsc/pools,Elk Finance (Hoo Smart Chain),
82,,,https://www.geckoterminal.com/mtr/voltswap_meter/pools,VoltSwap (Meter),
87,,,https://www.geckoterminal.com/nova-network/fusion-dex/pools,Fusion Dex,
88,,,https://www.geckoterminal.com/tomochain/luaswap/pools,Luaswap,
96,,,https://www.geckoterminal.com/bitkub_chain/diamon_finance/pools,Diamon Finance,
100,,,https://www.geckoterminal.com/xdai/honeyswap/pools,Honeyswap,
100,,,https://www.geckoterminal.com/xdai/sushiswap_xdai/pools,Sushiswap (Xdai),
100,,,https://www.geckoterminal.com/xdai/balancer-gnosis/pools,Balancer (Gnosis),
100,,,https://www.geckoterminal.com/xdai/swapr_xdai/pools,Swapr (Xdai),
100,,,https://www.geckoterminal.com/xdai/elk_finance_xdai/pools,Elk Finance (Xdai),
100,,,https://www.geckoterminal.com/xdai/levinswap_xdai/pools,Levinswap,
100,,,https://www.geckoterminal.com/xdai/bao_finance/pools,Bao Finance,
106,,,https://www.geckoterminal.com/velas/wagyuswap/pools,WagyuSwap,
106,,,https://www.geckoterminal.com/velas/astroswap/pools,AstroSwap,
106,,,https://www.geckoterminal.com/velas/wavelength/pools,Wavelength,
108,,,https://www.geckoterminal.com/thundercore/laserswap/pools,LaserSwap,
122,,,https://www.geckoterminal.com/fuse/voltage_finance/pools,Voltage Finance,
122,,,https://www.geckoterminal.com/fuse/elk_finance_fuse/pools,Elk Finance (Fuse),
122,,,https://www.geckoterminal.com/fuse/sushiswap_fuse/pools,Sushiswap (Fuse),
128,,,https://www.geckoterminal.com/heco/mdex/pools,Mdex,
128,,,https://www.geckoterminal.com/heco/makiswap/pools,Makiswap,
128,,,https://www.geckoterminal.com/heco/elk_finance_heco/pools,Elk Finance (HECO),
137,,,https://www.geckoterminal.com/polygon_pos/uniswap_v3_polygon_pos/pools,Uniswap V3 (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/quickswap_v3/pools,Quickswap (v3),
137,,,https://www.geckoterminal.com/polygon_pos/quickswap/pools,Quickswap,
137,,,https://www.geckoterminal.com/polygon_pos/sushiswap_polygon_pos/pools,Sushiswap (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/balancer_polygon/pools,Balancer (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/dfyn/pools,Dfyn,
137,,,https://www.geckoterminal.com/polygon_pos/curve_polygon_pos/pools,Curve (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/apeswap_polygon/pools,ApeSwap (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/kyberswap_classic_polygon/pools,Kyberswap Classic (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/mmfinance_polygon/pools,MMFinance (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/fraxswap_polygon_pos/pools,Fraxswap (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/kyberswap_elastic_polygon/pools,Kyberswap Elastic (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/gravity_finance/pools,Gravity Finance,
137,,,https://www.geckoterminal.com/polygon_pos/elk_finance_polygon/pools,Elk Finance (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/vulcandex/pools,VulcanDex,
137,,,https://www.geckoterminal.com/polygon_pos/purplebridge/pools,PurpleBridge,
137,,,https://www.geckoterminal.com/polygon_pos/dystopia/pools,Dystopia,
137,,,https://www.geckoterminal.com/polygon_pos/polycat_finance/pools,Polycat Finance,
137,,,https://www.geckoterminal.com/polygon_pos/lif3-polygon/pools,lif3 (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/crowdswap/pools,CrowdSwap,
137,,,https://www.geckoterminal.com/polygon_pos/radioshack_polygon_pos/pools,RadioShack (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/jetswap_polygon/pools,Jetswap (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/wault_finance_polygon/pools,Wault Finance (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/phenix-finance-polygon/pools,Phenix Finance (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/polydex/pools,PolyDEX,
137,,,https://www.geckoterminal.com/polygon_pos/comethswap/pools,ComethSwap,
137,,,https://www.geckoterminal.com/polygon_pos/justmoney_polygon_pos/pools,JustMoney (Polygon POS),
137,,,https://www.geckoterminal.com/polygon_pos/firebird_finance_polygon/pools,Firebird Finance (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/dinoswap/pools,Dinoswap,
