address,chain_id,decimals,dex_id,name,pair_id,symbol
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,42161,,1154,Tether USD,11211,USDT
0xa684cd057951541187f288294a1e1c2646aa2d24,42161,,1154,Vesta,11211,VSTA
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1154,,11211,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
,42161,,1141,,12781,
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,,1245,Wrapped OMNIA,11257,WOMNIA
0xa776f5b86cc520861f55a261515264e3bd86e72e,1501795822,,1245,Sphynx Labs,11257,SPHYNX
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
,1501795822,,1245,,11257,
0xac96774a121dfe1c6fa0649029b264d92b0f5fe1,42161,,1141,MOAT,12782,MOAT
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12782,USDC
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
,42161,,1141,,12782,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,42161,,1141,Wrapped Ether,12783,WETH
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,42161,,1141,Tether USD,12783,USDT
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
,42161,,1141,,12783,
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,,1245,Wrapped OMNIA,11258,WOMNIA
0x747f964f5703f612e7bf7f9531747998d2925299,1501795822,,1245,BlockVerse,11258,BLOCK
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
