network_chain_id,network_explorer_url,network_geckoterminal_url,network_identifier,network_name,network_native_currency_address,network_native_currency_symbol
17777,https://explorer.evm.eosnetwork.com,https://www.geckoterminal.com/eos-evm/pools,eos-evm,EOS EVM,0xc00592aa41d32d137dc480d9f6d0df19b860104f,eos
10001,https://www.oklink.com/ethw/,https://www.geckoterminal.com/ethw/pools,ethw,EthereumPOW,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ethw
15551,https://explorer.mainnetloop.com,https://www.geckoterminal.com/loop-network/pools,loop-network,Loop Network,0x3936d20a39ed4b0d44eabfc91757b182f14a38d5,loop
416,https://explorer.sx.technology,https://www.geckoterminal.com/sxn/pools,sxn,SX Network,0xaa99be3356a11ee92c3f099bd7a038399633566f,sx
108,https://viewblock.io/thundercore,https://www.geckoterminal.com/thundercore/pools,thundercore,ThunderCore,0x413cefea29f2d07b8f2acfa69d92466b9535f717,tt
5,https://goerli.etherscan.io,https://www.geckoterminal.com/goerli-testnet/pools,goerli-testnet,Goerli Testnet,0xb4fbf271143f4fbf7b91a5ded31805e42b2208d6,geth
82,https://scan.meter.io,https://www.geckoterminal.com/mtr/pools,mtr,Meter,0x228ebbee999c6a7ad74a6130e81b12f9fe237ba3,MTRG
20,https://esc.elastos.io,https://www.geckoterminal.com/ela/pools,ela,Elastos,0x517e9e5d46c1ea8ab6f78677d6114ef47f71f6c4,ELA
122,https://explorer.fuse.io,https://www.geckoterminal.com/fuse/pools,fuse,Fuse,0x0be9e53fd7edac9f859882afdda116645287c629,FUSE
2109,https://explorer.exosama.com,https://www.geckoterminal.com/exosama/pools,exosama,Exosama,0x8c992cba48189a79204223d106fcb1d797a5f87a,SAMA
1501795822,https://scan.theapexchain.org,https://www.geckoterminal.com/apex/pools,apex,Apex,0x80b6f432d3acd773803ffbe0150ca7412d67ca76,omnia
14,https://flare-explorer.flare.network,https://www.geckoterminal.com/flare/pools,flare,Flare,0x1d80c49bbbcd1c0911346656b529df9e5c2f783d,FLR
336,https://blockscout.com/shiden,https://www.geckoterminal.com/sdn/pools,sdn,Shiden,0x0f933dc137d21ca519ae4c7e93f87a4c8ef365ef,WSDN
61,https://www.oklink.com/etc/,https://www.geckoterminal.com/ethereum_classic/pools,ethereum_classic,Ethereum Classic,0x82a618305706b14e7bcf2592d4b9324a366b6dad,etc
3693,https://explorer.empirenetwork.io,https://www.geckoterminal.com/empire_network/pools,empire_network,Empire Network,0xc84d8d03aa41ef941721a4d77b24bb44d7c7ac55,EMPIRE
39797,https://explorer.energi.network,https://www.geckoterminal.com/nrg/pools,nrg,Energi,0xa55f26319462355474a9f2c8790860776a329aa4,nrg
288,https://blockexplorer.boba.network,https://www.geckoterminal.com/boba/pools,boba,Boba Network,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,BOBA
20202021,https://pooscan.co,https://www.geckoterminal.com/poochain/pools,poochain,Poochain,0x28e8e40abd4c51817a2fae589257fa48f115bc36,poop
2152,https://evm.findorascan.io,https://www.geckoterminal.com/findora/pools,findora,Findora,0x0000000000000000000000000000000000001000,fra
20402,https://explorer.muuchain.com,https://www.geckoterminal.com/muuchain/pools,muuchain,MuuChain,0x875358f6194d7c622d6355455f3137cceb2955c4,MUU
1818,https://cubescan.network,https://www.geckoterminal.com/cube_network/pools,cube_network,CUBE Network,0x9d3f61338d6eb394e378d28c1fd17d5909ac6591,cube
62621,https://mtvscout.com,https://www.geckoterminal.com/multivac/pools,multivac,MultiVAC,0x8e321596267a4727746b2f48bc8736db5da26977,mtv
513100,https://www.oklink.com/ethf/,https://www.geckoterminal.com/ethereumfair/pools,ethereumfair,EthereumFair,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETF
9117,https://bonerscan.com,https://www.geckoterminal.com/bonerium/pools,bonerium,Bonerium,0xcda1fa23ff3b9b7172be82237bf662efb69437e9,bone
1024,https://clvscan.com,https://www.geckoterminal.com/clover-finance/pools,clover-finance,Clover Finance,0x6d6ad95425fcf315c39fa6f3226471d4f16f27b3,clv
70,https://hooscan.com,https://www.geckoterminal.com/hsc/pools,hsc,Hoo Smart Chain,0x3eff9d389d13d6352bfb498bcf616ef9b1beac87,hoo
3000,https://app.ech.network/explorer,https://www.geckoterminal.com/echelon/pools,echelon,Echelon,0x4df9da1037108ed96c71fa77b85395cc21a86d60,ech
877,https://dxtscan.com,https://www.geckoterminal.com/dexit_network/pools,dexit_network,Dexit Network,0x414b8baf9950c87804cf7e23bb43a58ae7e1e202,DXT
3797,https://alveyscan.com,https://www.geckoterminal.com/alvey/pools,alvey,Alvey,0xcb3e9919c56eff1004e54175a01e39163a352129,ALV
40,https://www.teloscan.io,https://www.geckoterminal.com/tlos/pools,tlos,Telos,0xd102ce6a4db07d247fcc28f366a623df0938ca9e,WTLOS
73772,https://avascan.info/blockchain/swimmer,https://www.geckoterminal.com/swimmer_network/pools,swimmer_network,Swimmer Network,0x9c765eee6eff9cf1337a1846c0d93370785f6c92,TUS
420420,https://mainnet-explorer.kekchain.com,https://www.geckoterminal.com/kekchain/pools,kekchain,Kekchain,0x71ec0cb8f7dd4f4c5bd4204015c4c287fbdaa04a,kek
4099,https://bitindiscan.com,https://www.geckoterminal.com/bitindi-chain/pools,bitindi-chain,Bitindi Chain,0x15e162205421dc3a47b15a1a740fbf5eabb77921,bni
314,https://filscan.io,https://www.geckoterminal.com/filecoin/pools,filecoin,Filecoin,0x205ccece7585ddaf06bb765585e769dc381deb64,FIL
87,https://novascan.io/overview,https://www.geckoterminal.com/nova-network/pools,nova-network,Nova Network,0x657a66332a65b535da6c5d67b8cd1d410c161a08,snt
78887,https://lunagens.info,https://www.geckoterminal.com/lung-chain/pools,lung-chain,Lung Chain,0xf51666bcb4b787df919395258fb1d9556f4e357b,lung
